"lat","lon","notes","Date","Name","Municipality"
10.7438426837,124.7865269333,"HECR#776 w/4 APCL","5/28/15","Visca","BayBay"
10.7435200643,124.7865862772,"STME#1338 w/2 APCL","5/28/15","Visca","BayBay"
10.7436789013,124.7867478803,"HECR#1235 w/6 APCL","5/28/15","Visca","BayBay"
10.7434157934,124.7869097348,"HECR#801 w/4 APCL","5/28/15","Visca","BayBay"
10.7429820299,124.7871730104,"MADO#1284 w/2 APCL","5/28/15","Visca","BayBay"
10.7282356638,124.793370422,"HECR#1287 w/3 APCL","5/28/15","Gabas","BayBay"
10.7281792536,124.7933476232,"HECR","5/28/15","Gabas","BayBay"
10.728097111,124.7933915444,"HECR#1339 w/2 APCL","5/28/15","Gabas","BayBay"
10.7277014013,124.7934524808,"HECR#1288 w/4 APCL","5/28/15","Gabas","BayBay"
10.7271870878,124.7933598608,"HECR#1340 w/7 APCL","5/28/15","Gabas","BayBay"
10.8746635728,124.7106833663,"HECR#1030/2001 w/2 APCL","5/29/15","Palanas","Albuera"
10.8745266963,124.7105936799,"HECR#132 w/3 APCL","5/29/15","Palanas","Albuera"
10.8745001256,124.7106042411,"??? w/1 APCL","5/29/15","Palanas","Albuera"
10.8745009638,124.7105976194,"EMPT","5/29/15","Palanas","Albuera"
10.8744838648,124.7105750721,"HECR w/2 APPE","5/29/15","Palanas","Albuera"
10.8744838648,124.7105750721,"HECR w/2 APPE","5/29/15","Palanas","Albuera"
10.8744838648,124.7105750721,"HECR w/2 APPE","5/29/15","Palanas","Albuera"
10.8743991237,124.7105803527,"HECR#2002 w/4 APCL","5/29/15","Palanas","Albuera"
10.874400381,124.7105672769,"HECR w/1 APPE","5/29/15","Palanas","Albuera"
10.8744004648,124.7105784249,"HECR w/1 APPE","5/29/15","Palanas","Albuera"
10.8744106069,124.7105947696,"HECR","5/29/15","Palanas","Albuera"
10.8743981179,124.7105469089,"HECR w/1 APPE","5/29/15","Palanas","Albuera"
10.8743981179,124.7105469089,"HECR w/1 APPE","5/29/15","Palanas","Albuera"
10.8743254468,124.7106484137,"HECR w/1 APPE","5/29/15","Palanas","Albuera"
10.8743057493,124.7106091026,"HECR#1029 w/6 APCL","5/29/15","Palanas","Albuera"
10.8742770832,124.7106563766,"HECR#1028 w/2 APCL","5/29/15","Palanas","Albuera"
10.874266522,124.7106697038,"HECR#1027 w/1 APCL","5/29/15","Palanas","Albuera"
10.8741862234,124.7106947657,"HECR","5/29/15","Palanas","Albuera"
10.8741862234,124.7106947657,"HECR","5/29/15","Palanas","Albuera"
10.8740897477,124.7106869705,"HECR#2003 w/3 APCL","5/29/15","Palanas","Albuera"
10.8740992192,124.7107012197,"HECR#492 w/1 APCL","5/29/15","Palanas","Albuera"
10.87410626,124.7107306402,"HECR#2004 w/1 APCL","5/29/15","Palanas","Albuera"
10.8741398714,124.7107427102,"ENQD#493 w/2 APFR","5/29/15","Palanas","Albuera"
10.8741190843,124.7107557021,"HECR#1033 w/4 APCL","5/29/15","Palanas","Albuera"
10.8741723932,124.7107436322,"ENQD#2005 w/2 APCL","5/29/15","Palanas","Albuera"
10.8740273025,124.7106536943,"HECR#2006 w/3 APCL","5/29/15","Palanas","Albuera"
10.8739009872,124.7105135489,"HECR#487 w/2 APPE","5/29/15","Palanas","Albuera"
10.873899227,124.7105140518,"HECR","5/29/15","Palanas","Albuera"
10.8738242928,124.7104590666,"????#2007 w/2 APCL","5/29/15","Palanas","Albuera"
10.8738549706,124.7105768323,"HECR w/1 APCL","5/29/15","Palanas","Albuera"
10.873776935,124.710654784,"HECR w/2 APPE","5/29/15","Palanas","Albuera"
10.8736954629,124.7107614018,"HECR#257 w/2 APCL","5/29/15","Palanas","Albuera"
10.8737102989,124.7108183149,"HECR w/1 APCL","5/29/15","Palanas","Albuera"
10.8737765998,124.71090951,"HECR#2008 w/4 APCL","5/29/15","Palanas","Albuera"
10.8737751748,124.7109183948,"HECR#944 w/1 APCL","5/29/15","Palanas","Albuera"
10.8738480136,124.7109212447,"MADO#483/943 w/1 APCL","5/29/15","Palanas","Albuera"
10.8738458343,124.7109300457,"HECR#942 w/3 APCL","5/29/15","Palanas","Albuera"
10.8738674596,124.7109810915,"HECR#959 w/2 APCL","5/29/15","Palanas","Albuera"
10.874129897,124.710986875,"HECR w/2 APCL","5/29/15","Palanas","Albuera"
10.8742896561,124.7108862922,"HECR#730 w/3 APCL","5/29/15","Palanas","Albuera"
10.8742896561,124.7108862922,"HECR#729/970 w/1 APPE","5/29/15","Palanas","Albuera"
10.8743033186,124.7108866274,"STHD w/2 APPO","5/29/15","Palanas","Albuera"
